Ref,Val,Package,PosX,PosY,Rot,Side
"KNOCK_RAW2","IN_KNOCK2_RAW","PinHeader_1x01_P1.00mm_Vertical",74.910000,96.690000,0.000000,top
"M1","Module-power12-0.2","output-0.3",59.210000,85.828714,180.000000,top
"M2","Module-power5-0.2","vr-0.1",84.484999,87.693414,180.000000,top
"M3","Module-knock-0.1","input-0.1",116.660000,79.766997,180.000000,top
"M4","Module-knock-0.1","knock",0.760001,39.477476,0.000000,top
"M5","Module-vr-0.1","knock",0.760001,44.227476,0.000000,top
"M6","Module-output-0.3","mcu-0.6",116.760000,58.090000,180.000000,top
"M7","Module-input-0.1","ign8-0.2",127.410000,46.801854,180.000000,top
"M8","Module-ign8-0.2","power12",0.293985,23.352109,0.000000,top
"M9","Module-mcu144-0.6","wbo-0.3",72.710000,15.490000,180.000000,top
"M10","Module-sd-0.1","can-0.1",121.410000,32.190000,-90.000000,top
"M11","Module-can-0.1","can-0.1",86.122499,7.558337,180.000000,top
"M12","Module-wbo-0.3","power5-0.2",126.872501,7.802499,180.000000,top
"MMCU1","MMCU","PinHeader_1x01_P1.00mm_Vertical",64.910000,47.190000,0.000000,top
"MMCU2","MMCU","PinHeader_1x01_P1.00mm_Vertical",64.960000,49.190000,0.000000,top
"MMCU3","MMCU","PinHeader_1x01_P1.00mm_Vertical",64.960000,53.190000,0.000000,top
"MMCU4","MMCU","PinHeader_1x01_P1.00mm_Vertical",64.960000,51.190000,0.000000,top
"MMCU5","MMCU","PinHeader_1x01_P1.00mm_Vertical",86.210000,59.690000,0.000000,top
"MMCU6","MMCU","PinHeader_1x01_P1.00mm_Vertical",79.410000,59.690000,0.000000,top
"MMCU7","MMCU","PinHeader_1x01_P1.00mm_Vertical",83.910000,59.690000,0.000000,top
"MMCU8","MMCU","PinHeader_1x01_P1.00mm_Vertical",81.660000,59.690000,0.000000,top
"MMCU9","MMCU","PinHeader_1x01_P1.00mm_Vertical",71.210000,16.740000,90.000000,top
"MMCU10","MMCU","PinHeader_1x01_P1.00mm_Vertical",65.210000,16.740000,90.000000,top
"MMCU11","MMCU","PinHeader_1x01_P1.00mm_Vertical",67.210000,16.740000,90.000000,top
"MMCU12","MMCU","PinHeader_1x01_P1.00mm_Vertical",69.210000,16.740000,90.000000,top
"MMCU13","MMCU","PinHeader_1x01_P1.00mm_Vertical",67.910000,36.940000,0.000000,top
"MMCU14","MMCU","PinHeader_1x01_P1.00mm_Vertical",63.210000,16.740000,90.000000,top
"MMCU15","MMCU","PinHeader_1x01_P1.00mm_Vertical",73.210000,16.740000,90.000000,top
"MMCU16","MMCU","PinHeader_1x01_P1.00mm_Vertical",86.110000,17.440000,0.000000,top
"MMCU17","MMCU","PinHeader_1x01_P1.00mm_Vertical",77.310000,16.640000,90.000000,top
"MMCU18","MMCU","PinHeader_1x01_P1.00mm_Vertical",79.310000,16.640000,90.000000,top
"MMCU19","MMCU","PinHeader_1x01_P1.00mm_Vertical",76.560000,14.340000,90.000000,top
"MMCU20","MMCU","PinHeader_1x01_P1.00mm_Vertical",74.560000,14.340000,90.000000,top
"MMCU21","MMCU","PinHeader_1x01_P1.00mm_Vertical",88.910000,13.940000,0.000000,top
"MMCU22","MMCU","PinHeader_1x01_P1.00mm_Vertical",107.660000,13.440000,0.000000,top
"MMCU23","MMCU","PinHeader_1x01_P1.00mm_Vertical",107.660000,15.440000,0.000000,top
"MMCU24","MMCU","PinHeader_1x01_P1.00mm_Vertical",135.510000,15.490000,90.000000,top
"MMCU25","MMCU","PinHeader_1x01_P1.00mm_Vertical",133.510000,15.490000,90.000000,top
"MMCU26","MMCU","PinHeader_1x01_P1.00mm_Vertical",131.510001,15.490000,90.000000,top
"MMCU27","MMCU","PinHeader_1x01_P1.00mm_Vertical",129.510000,15.490000,90.000000,top
"MMCU28","MMCU","PinHeader_1x01_P1.00mm_Vertical",76.560000,12.040000,90.000000,top
"MMCU29","MMCU","PinHeader_1x01_P1.00mm_Vertical",88.910000,10.190000,0.000000,top
"MMCU30","MMCU","PinHeader_1x01_P1.00mm_Vertical",107.660000,9.440000,0.000000,top
"MMCU31","MMCU","PinHeader_1x01_P1.00mm_Vertical",107.660000,11.440000,0.000000,top
"P1","P","Pin_D1.0mm_L10.0mm",16.574213,11.190000,0.000000,top
"P2","P","Pin_D1.0mm_L10.0mm",19.824213,11.190000,0.000000,top
"P3","P","Pin_D1.0mm_L10.0mm",13.324213,11.190000,0.000000,top
"P4","P","Pin_D1.0mm_L10.0mm",30.574213,11.190000,0.000000,top
"P5","P","Pin_D1.0mm_L10.0mm",23.074213,11.190000,0.000000,top
"P6","P","Pin_D1.0mm_L10.0mm",26.824213,11.190000,0.000000,top
"PP1","Motronic_88pin","88pin_STS",27.126400,111.773400,0.000000,top
"Q1","NGD8201AN","TO-252-2",142.880000,30.190000,0.000000,top
"Q2","NGD8201AN","TO-252-2",142.890000,90.210000,0.000000,top
"Q3","NGD8201AN","TO-252-2",142.880000,40.180000,0.000000,top
"Q4","NGD8201AN","TO-252-2",142.870000,80.170000,0.000000,top
"Q5","NGD8201AN","TO-252-2",142.870000,60.680000,0.000000,top
"Q6","NGD8201AN","TO-252-2",142.900000,70.680000,0.000000,top
"Q7","NGD8201AN","TO-252-2",142.860000,20.680000,0.000000,top
"Q8","NGD8201AN","TO-252-2",142.900000,11.677500,0.000000,top
"Q9","AUIPS2041LTR","SOT-223",20.930000,82.182500,0.000000,top
"Q10","AUIPS2041LTR","SOT-223",23.150000,71.190000,-90.000000,top
"R1","DNP","R_2512_6332Metric",16.860000,94.940000,-90.000000,top
"R2","22","R0603",75.120000,89.190000,0.000000,top
"R3","22","R_0402_1005Metric",85.670000,94.940000,0.000000,top
"R4","DNP","R_2512_6332Metric",104.200000,94.890000,0.000000,top
"R5","DNP","R_2512_6332Metric",104.199999,96.690000,0.000000,top
"R6","22","R0603",135.168801,92.490000,180.000000,top
"R7","22","R_0402_1005Metric",17.160000,86.440000,0.000000,top
"R8","DNP","R_2512_6332Metric",20.150000,88.190000,-90.000000,top
"R9","DNP","R_2512_6332Metric",22.410000,65.690000,0.000000,top
"R10","22","R0603",90.635489,87.290000,180.000000,top
"R11","22","R_0402_1005Metric",78.110000,78.340000,180.000000,top
"R12","DNP","R_2512_6332Metric",99.460000,81.790000,-90.000000,top
"R13","DNP","R_0402_1005Metric",135.058800,82.490000,180.000000,top
"R14","DNP","R_0402_1005Metric",135.158800,72.990000,180.000000,top
"R15","100k","R_0402_1005Metric",154.610000,87.690000,180.000000,top
"R16","100","R_0402_1005Metric",154.710000,68.790000,180.000000,top
"R17","10k","R_0402_1005Metric",154.810000,77.690000,180.000000,top
"R18","DNP","R_2512_6332Metric",43.660000,41.440000,0.000000,top
"R19","22","R_0402_1005Metric",43.660000,39.440000,0.000000,top
"R20","22","R_0402_1005Metric",43.660000,40.440000,0.000000,top
"R21","DNP","R_2512_6332Metric",67.760000,54.390000,180.000000,top
"R22","2.7k","R_0402_1005Metric",48.160000,38.690000,0.000000,top
"R23","2.7k","R0603",135.158800,42.490000,180.000000,top
"R24","10k","R_0402_1005Metric",135.168800,62.990000,180.000000,top
"R25","10k","R_0402_1005Metric",154.710000,59.590000,0.000000,top
"R26","680k","R0603",3.310000,25.090000,-90.000000,top
"R27","680k","R0603",5.310000,25.090000,-90.000000,top
"R28","680k","R_0402_1005Metric",48.160000,35.690000,180.000000,top
"R29","DNP","R_0402_1005Metric",48.160000,36.690000,180.000000,top
"R30","DNP","R0603",135.158801,13.980000,180.000000,top
"R31","1k6","R_0402_1005Metric",135.158800,32.490000,180.000000,top
"R32","750R","R_0402_1005Metric",135.158800,22.990000,180.000000,top
"R33","5k1","R_0402_1005Metric",154.810000,18.190000,0.000000,top
"R34","5k1","R_0402_1005Metric",154.810000,27.790000,0.000000,top
"R35","5k1","R_0402_1005Metric",154.810000,37.590000,0.000000,top
"R36","20k","R_0402_1005Metric",2.710000,8.190000,90.000000,top
"R37","4.7k","R_0402_1005Metric",154.810000,9.290000,180.000000,top
"RN1","4.7k","R_Array_Concave_4x0603",70.810000,68.240000,180.000000,top
"RN2","4.7k","R_Array_Concave_4x0603",74.060000,68.240000,0.000000,top
"RN3","1k","R_Array_Concave_4x0603",119.910000,62.290000,0.000000,top
"RN4","1k","R_Array_Concave_4x0603",119.910000,57.440000,0.000000,top
"SW1","Button_SPST","SMD-2_2.9x3.9x1.7",95.883800,11.267200,-90.000000,top
"SW2","Button_SPST","SMD-2_2.9x3.9x1.7",91.883800,11.267200,-90.000000,top
"U1","TLS115_SOIC","HVSON-8-1EP_3x3mm_P0.65mm_EP1.6x2.4mm",101.983800,89.767200,-90.000000,top
"U2","TLS115_SON","HVSON-8-1EP_3x3mm_P0.65mm_EP1.6x2.4mm",109.646300,89.817200,0.000000,top
"U3","MCP6002-xSN","SOIC-8_3.9x4.9mm_P1.27mm",24.160000,46.690000,0.000000,top
"U4","L6205PD","MPX-4_MAP",24.996750,27.940000,90.000000,top
"U5","MPX4_MAP","SSO-8_6.8x5.9mm_P1.27mm_Clearance7mm",46.660000,25.440000,90.000000,top
"U6","MPXA6115A","SSO-8_6.8x5.9mm_P1.27mm_Clearance7mm",59.160000,29.440000,180.000000,top
"U7","LIS2DW12TR","LGA-12_2x2mm_P0.5mm",99.410000,11.000000,-90.000000,top
"U8","LPS25HB","ST_HLGA-10_2.5x2.5mm_P0.6mm_LayoutBorder3x2y",102.847500,11.302500,180.000000,top
"VIN1","VIN9","PinHeader_1x01_P1.00mm_Vertical",84.160000,74.940000,0.000000,top
"VIN2","VIN8","PinHeader_1x01_P1.00mm_Vertical",84.160000,76.940000,0.000000,top
"VIN3","VIN8","PinHeader_1x01_P1.00mm_Vertical",87.910000,80.690000,0.000000,top
"VIN4","VIN8","PinHeader_1x01_P1.00mm_Vertical",89.410000,82.690000,0.000000,top
"VIN5","VIN8","PinHeader_1x01_P1.00mm_Vertical",93.910000,80.690000,0.000000,top
"VIN6","VIN8","PinHeader_1x01_P1.00mm_Vertical",86.910000,82.690000,0.000000,top
"VIN7","VIN8","PinHeader_1x01_P1.00mm_Vertical",110.160000,84.940000,0.000000,top
"VIN8","VIN8","PinHeader_1x01_P1.00mm_Vertical",107.910000,84.940000,0.000000,top
"VIN9","VIN10","PinHeader_1x01_P1.00mm_Vertical",111.410000,82.940000,90.000000,top
"VIN10","VIN16","PinHeader_1x01_P1.00mm_Vertical",106.960000,82.890000,0.000000,top
"VIN11","VIN17","PinHeader_1x01_P1.00mm_Vertical",104.660000,82.890000,90.000000,top
"VOUT1","VOUT4","PinHeader_1x01_P1.00mm_Vertical",40.410000,90.190000,0.000000,top
"VOUT2","VOUT4","PinHeader_1x01_P1.00mm_Vertical",58.410000,91.641215,0.000000,top
"VOUT3","VOUT4","PinHeader_1x01_P1.00mm_Vertical",49.910000,91.641215,0.000000,top
"VOUT4","VOUT4","PinHeader_1x01_P1.00mm_Vertical",50.910000,89.641215,0.000000,top
"VOUT5","VOUT4","PinHeader_1x01_P1.00mm_Vertical",48.660000,89.641215,0.000000,top
"VOUT6","VOUT4","PinHeader_1x01_P1.00mm_Vertical",57.160000,89.641215,0.000000,top
"VOUT7","VOUT4","PinHeader_1x01_P1.00mm_Vertical",52.160000,91.641215,0.000000,top
"VOUT8","VOUT4","PinHeader_1x01_P1.00mm_Vertical",53.160000,89.641215,0.000000,top
"VOUT9","VOUT4","PinHeader_1x01_P1.00mm_Vertical",37.910000,87.440000,0.000000,top
"VOUT10","VOUT4","PinHeader_1x01_P1.00mm_Vertical",35.660000,87.440000,0.000000,top
"VOUT11","VOUT4","PinHeader_1x01_P1.00mm_Vertical",31.160000,87.440000,0.000000,top
"VOUT12","VOUT4","PinHeader_1x01_P1.00mm_Vertical",33.410000,87.440000,0.000000,top
"VOUT13","VOUT5","PinHeader_1x01_P1.00mm_Vertical",60.410000,77.690000,0.000000,top
"VOUT14","VOUT4","PinHeader_1x01_P1.00mm_Vertical",60.410000,79.690000,0.000000,top
"VOUT15","VOUT4","PinHeader_1x01_P1.00mm_Vertical",28.960000,42.990000,0.000000,top
"VOUT16","VOUT4","PinHeader_1x01_P1.00mm_Vertical",25.410000,41.940000,0.000000,top
"VOUT17","VOUT4","PinHeader_1x01_P1.00mm_Vertical",28.960000,44.990000,0.000000,top
